"","season","team","Clutch_Shots_Attempted","Clutch_Shots_Made","Clutch_FG_Percentage"
"1",2008,"Fairfield",1,1,100
"2",2008,"Iowa State",2,2,100
"3",2008,"Virginia",3,3,100
"4",2009,"Louisville",1,1,100
"5",2012,"Austin Peay",1,1,100
"6",2013,"Cincinnati",1,1,100
"7",2013,"Kansas State",1,1,100
"8",2013,"Minnesota",2,2,100
"9",2013,"Notre Dame",1,1,100
"10",2014,"BYU",1,1,100
"11",2014,"Fairfield",1,1,100
"12",2014,"Hampton",1,1,100
"13",2010,"LSU",6,4,66.7
"14",2011,"Louisiana Tech",3,2,66.7
"15",2008,"Saint Louis",2,1,50
"16",2008,"Utah",2,1,50
"17",2009,"Charleston",2,1,50
"18",2009,"Milwaukee",2,1,50
"19",2009,"Rutgers",4,2,50
"20",2009,"Western Carolina",2,1,50
"21",2012,"Arkansas",2,1,50
"22",2012,"Kansas",2,1,50
"23",2013,"Duquesne",2,1,50
"24",2013,"Villanova",4,2,50
"25",2014,"Auburn",2,1,50
"26",2014,"Sacred Heart",2,1,50
"27",2010,"Ole Miss",5,2,40
"28",2013,"Syracuse",5,2,40
"29",2012,"Nebraska",14,5,35.7
"30",2009,"Iowa",3,1,33.3
"31",2011,"Virginia",6,2,33.3
"32",2013,"Arizona State",3,1,33.3
"33",2013,"Oregon",3,1,33.3
"34",2013,"Portland State",3,1,33.3
"35",2013,"Virginia",3,1,33.3
"36",2014,"Kentucky",3,1,33.3
"37",2014,"Wyoming",7,2,28.6
"38",2008,"Duquesne",4,1,25
"39",2011,"NC State",4,1,25
"40",2012,"Purdue",8,2,25
"41",2013,"George Washington",4,1,25
"42",2014,"Baylor",4,1,25
"43",2010,"Kansas",5,1,20
"44",2007,"Kentucky",1,0,0
"45",2007,"Mississippi State",1,0,0
"46",2008,"Colorado",3,0,0
"47",2008,"Fordham",3,0,0
"48",2008,"Georgia Tech",3,0,0
"49",2008,"Maryland",1,0,0
"50",2008,"Oral Roberts",1,0,0
"51",2008,"Stanford",2,0,0
"52",2008,"Tulsa",4,0,0
"53",2008,"UAB",3,0,0
"54",2009,"Georgetown",1,0,0
"55",2009,"Penn State",1,0,0
"56",2009,"Wisconsin",3,0,0
"57",2010,"Clemson",1,0,0
"58",2010,"Georgetown",2,0,0
"59",2010,"North Carolina",1,0,0
"60",2010,"South Carolina",1,0,0
"61",2010,"Virginia",2,0,0
"62",2011,"Fresno State",3,0,0
"63",2011,"New Mexico",2,0,0
"64",2011,"Oklahoma State",2,0,0
"65",2012,"Florida",2,0,0
"66",2012,"Iowa State",1,0,0
"67",2012,"Morehead State",1,0,0
"68",2012,"Northern Arizona",1,0,0
"69",2012,"Virginia",4,0,0
"70",2013,"Alabama",2,0,0
"71",2013,"Arizona",3,0,0
"72",2013,"Boston College",1,0,0
"73",2013,"Dayton",1,0,0
"74",2013,"Ohio State",2,0,0
"75",2013,"Pittsburgh",6,0,0
"76",2013,"Providence",2,0,0
"77",2013,"St. John's",2,0,0
"78",2013,"Wake Forest",1,0,0
"79",2013,"Washington State",2,0,0
"80",2013,"Western Illinois",1,0,0
"81",2014,"Alabama",2,0,0
"82",2014,"Bryant",1,0,0
"83",2014,"Colorado State",3,0,0
"84",2014,"Creighton",1,0,0
"85",2014,"Kansas State",1,0,0
"86",2014,"Mississippi State",1,0,0
"87",2014,"St. John's",1,0,0
"88",2015,"Florida Gulf Coast",1,1,100
"89",2015,"LSU",1,1,100
"90",2015,"Texas",2,2,100
"91",2016,"Abilene Christian",2,2,100
"92",2016,"American University",1,1,100
"93",2016,"Appalachian State",1,1,100
"94",2016,"Coastal Carolina",1,1,100
"95",2016,"Delaware State",1,1,100
"96",2016,"East Tennessee State",1,1,100
"97",2016,"Florida Gulf Coast",1,1,100
"98",2016,"Houston",1,1,100
"99",2016,"IUPUI",1,1,100
"100",2016,"Jacksonville",2,2,100
"101",2016,"Louisiana",1,1,100
"102",2016,"Loyola Maryland",1,1,100
"103",2016,"Monmouth",1,1,100
"104",2016,"Old Dominion",1,1,100
"105",2016,"Oral Roberts",2,2,100
"106",2016,"Pennsylvania",1,1,100
"107",2016,"Purdue Fort Wayne",1,1,100
"108",2016,"Rider",3,3,100
"109",2016,"South Carolina Upstate",1,1,100
"110",2016,"Stephen F. Austin",1,1,100
"111",2016,"Troy",1,1,100
"112",2016,"UMass",1,1,100
"113",2016,"Vermont",2,2,100
"114",2016,"Xavier",1,1,100
"115",2017,"Alcorn State",1,1,100
"116",2017,"Army",1,1,100
"117",2017,"Campbell",1,1,100
"118",2017,"East Carolina",1,1,100
"119",2017,"Fordham",1,1,100
"120",2017,"George Mason",1,1,100
"121",2017,"Jacksonville",1,1,100
"122",2017,"Montana State",3,3,100
"123",2017,"Pittsburgh",2,2,100
"124",2017,"Quinnipiac",1,1,100
"125",2017,"Saint Louis",1,1,100
"126",2017,"South Alabama",1,1,100
"127",2017,"Toledo",2,2,100
"128",2017,"Xavier",1,1,100
"129",2018,"Denver",1,1,100
"130",2018,"Elon",1,1,100
"131",2018,"Florida Atlantic",1,1,100
"132",2018,"Green Bay",2,2,100
"133",2018,"High Point",1,1,100
"134",2018,"Houston",2,2,100
"135",2018,"Kent State",2,2,100
"136",2018,"LIU Brooklyn",1,1,100
"137",2018,"Lafayette",2,2,100
"138",2018,"Lipscomb",1,1,100
"139",2018,"Monmouth",1,1,100
"140",2018,"Oregon",3,3,100
"141",2018,"Saint Joseph's",2,2,100
"142",2018,"San Diego",1,1,100
"143",2018,"South Dakota",5,5,100
"144",2018,"Stony Brook",1,1,100
"145",2018,"Tulsa",1,1,100
"146",2018,"UC Santa Barbara",1,1,100
"147",2019,"Air Force",1,1,100
"148",2019,"Albany",1,1,100
"149",2019,"Arkansas State",1,1,100
"150",2019,"Buffalo",1,1,100
"151",2019,"Charlotte",2,2,100
"152",2019,"Coastal Carolina",1,1,100
"153",2019,"Colorado State",2,2,100
"154",2019,"Hawai'i",1,1,100
"155",2019,"Louisiana",1,1,100
"156",2019,"Maryland",2,2,100
"157",2019,"Montana",1,1,100
"158",2019,"Norfolk State",1,1,100
"159",2019,"Old Dominion",2,2,100
"160",2019,"Oral Roberts",1,1,100
"161",2019,"Portland State",2,2,100
"162",2019,"San Francisco",1,1,100
"163",2019,"San José State",1,1,100
"164",2019,"Southeast Missouri State",1,1,100
"165",2019,"Southern",1,1,100
"166",2019,"Texas State",2,2,100
"167",2019,"Towson",2,2,100
"168",2019,"Utah Valley",2,2,100
"169",2019,"Western Illinois",1,1,100
"170",2019,"Western Kentucky",1,1,100
"171",2020,"Central Baptist College",1,1,100
"172",2020,"LSU Shreveport",1,1,100
"173",2020,"Mount Olive",2,2,100
"174",2020,"St. Martins",1,1,100
"175",2020,"Providence",7,6,85.7
"176",2018,"Belmont",6,5,83.3
"177",2017,"Ball State",4,3,75
"178",2017,"Butler",4,3,75
"179",2017,"Hawai'i",4,3,75
"180",2017,"Idaho State",4,3,75
"181",2018,"Fordham",8,6,75
"182",2019,"Mississippi State",4,3,75
"183",2019,"South Alabama",8,6,75
"184",2017,"Utah State",7,5,71.4
"185",2016,"Delaware",3,2,66.7
"186",2016,"Florida State",3,2,66.7
"187",2016,"Idaho",3,2,66.7
"188",2016,"Idaho State",3,2,66.7
"189",2016,"Marquette",6,4,66.7
"190",2016,"Radford",3,2,66.7
"191",2016,"SMU",3,2,66.7
"192",2016,"San Francisco",6,4,66.7
"193",2016,"Texas",3,2,66.7
"194",2016,"Texas Southern",3,2,66.7
"195",2016,"UNLV",3,2,66.7
"196",2016,"Weber State",3,2,66.7
"197",2017,"American University",3,2,66.7
"198",2017,"Buffalo",3,2,66.7
